Date,Winning Numbers,Prize/Jackpot
Wed 12/29/2021,11-13-15-20-46 Star Ball: 7 All Star Bonus 4,$5.56 Million
Sat 12/25/2021,17-27-34-36-38 Star Ball: 3 All Star Bonus 4,$5.37 Million
Wed 12/22/2021,5-20-21-33-41 Star Ball: 8 All Star Bonus 3,$5.25 Million
Sat 12/18/2021,15-25-31-45-46 Star Ball: 4 All Star Bonus 3,$5.17 Million
Wed 12/15/2021,1-9-24-25-47 Star Ball: 1 All Star Bonus 2,$5.07 Million
Sat 12/11/2021,8-10-17-26-41 Star Ball: 9 All Star Bonus 4,$4.93 Million
Wed 12/08/2021,2-11-17-41-46 Star Ball: 9 All Star Bonus 3,$4.88 Million
Sat 12/04/2021,8-23-26-34-50 Star Ball: 7 All Star Bonus 5,$4.83 Million
Wed 12/01/2021,7-9-23-39-47 Star Ball: 3 All Star Bonus 2,$4.73 Million
Sat 11/27/2021,5-14-27-49-50 Star Ball: 9 All Star Bonus 3,$4.61 Million
Wed 11/24/2021,4-10-34-49-52 Star Ball: 7 All Star Bonus 3,$4.43 Million
Sat 11/20/2021,27-29-33-37-40 Star Ball: 9 All Star Bonus 2,$4.29 Million
Wed 11/17/2021,6-30-31-40-50 Star Ball: 5 All Star Bonus 2,$4.17 Million
Sat 11/13/2021,1-10-11-27-35 Star Ball: 10 All Star Bonus 4,$4.06 Million
Wed 11/10/2021,12-20-32-39-49 Star Ball: 10 All Star Bonus 4,$3.95 Million
Sat 11/06/2021,6-9-16-32-39 Star Ball: 2 All Star Bonus 3,$3.88 Million
Wed 11/03/2021,4-8-10-32-40 Star Ball: 9 All Star Bonus 3,$3.76 Million
Sat 10/30/2021,10-18-21-47-48 Star Ball: 1 All Star Bonus 5,$3.71 Million
Wed 10/27/2021,1-5-27-36-41 Star Ball: 3 All Star Bonus 4,$3.60 Million
Sat 10/23/2021,13-25-40-46-48 Star Ball: 8 All Star Bonus 5,$3.48 Million
Wed 10/20/2021,8-17-20-41-51 Star Ball: 3 All Star Bonus 3,$3.36 Million
Sat 10/16/2021,3-10-17-40-48 Star Ball: 1 All Star Bonus 4,$3.31 Million
Wed 10/13/2021,9-14-15-34-44 Star Ball: 8 All Star Bonus 3,$3.25 Million
Sat 10/09/2021,6-22-45-48-51 Star Ball: 4 All Star Bonus 2,$3.20 Million
Wed 10/06/2021,11-26-40-44-49 Star Ball: 10 All Star Bonus 3,$3.15 Million
Sat 10/02/2021,2-21-45-49-50 Star Ball: 7 All Star Bonus 3,$3.10 Million
Wed 09/29/2021,13-31-32-45-46 Star Ball: 7 All Star Bonus 2,$3.05 Million
Sat 09/25/2021,1-10-29-32-36 Star Ball: 3 All Star Bonus 2,$3 Million
Wed 09/22/2021,3-16-35-37-41 Star Ball: 8 All Star Bonus 2,$2.95 Million
Sat 09/18/2021,15-25-27-37-49 Star Ball: 6 All Star Bonus 2,$2.90 Million
Wed 09/15/2021,8-19-33-34-37 Star Ball: 9 All Star Bonus 3,$2.85 Million
Sat 09/11/2021,3-14-36-38-52 Star Ball: 8 All Star Bonus 2,$2.80 Million
Wed 09/08/2021,3-19-36-44-51 Star Ball: 3 All Star Bonus 3,$2.75 Million
Sat 09/04/2021,1-5-24-25-28 Star Ball: 4 All Star Bonus 3,$2.70 Million
Wed 09/01/2021,10-15-43-47-49 Star Ball: 6 All Star Bonus 5,$2.65 Million
Sat 08/28/2021,10-13-33-39-48 Star Ball: 3 All Star Bonus 2,$2.60 Million
Wed 08/25/2021,3-37-38-43-50 Star Ball: 7 All Star Bonus 2,$2.55 Million
Sat 08/21/2021,5-10-19-22-35 Star Ball: 5 All Star Bonus 2,$2.50 Million
Wed 08/18/2021,27-30-38-45-50 Star Ball: 3 All Star Bonus 5,$2.45 Million
Sat 08/14/2021,8-19-21-35-45 Star Ball: 3 All Star Bonus 4,$2.40 Million
Wed 08/11/2021,8-21-22-32-34 Star Ball: 5 All Star Bonus 2,$2.35 Million
Sat 08/07/2021,2-6-34-38-41 Star Ball: 8 All Star Bonus 5,$2.30 Million
Wed 08/04/2021,12-15-27-38-52 Star Ball: 10 All Star Bonus 2,$2.25 Million
Sat 07/31/2021,14-19-34-35-38 Star Ball: 9 All Star Bonus 2,$2.20 Million
Wed 07/28/2021,18-32-46-48-49 Star Ball: 4 All Star Bonus 4,$2.15 Million
Sat 07/24/2021,7-8-12-25-31 Star Ball: 5 All Star Bonus 2,$2.10 Million
Wed 07/21/2021,4-12-17-23-52 Star Ball: 6 All Star Bonus 4,$2.05 Million
Sat 07/17/2021,26-30-37-40-45 Star Ball: 5 All Star Bonus 4,$2 Million
Wed 07/14/2021,19-22-46-48-51 Star Ball: 10 All Star Bonus 2,$8.04 Million
Sat 07/10/2021,6-14-27-28-43 Star Ball: 5 All Star Bonus 2,$7.99 Million
Wed 07/07/2021,1-4-19-24-43 Star Ball: 3 All Star Bonus 4,$7.84 Million
Sat 07/03/2021,7-10-34-48-52 Star Ball: 1 All Star Bonus 2,$7.74 Million
Wed 06/30/2021,4-6-14-25-32 Star Ball: 9 All Star Bonus 2,$7.61 Million
Sat 06/26/2021,3-6-8-40-49 Star Ball: 7 All Star Bonus 3,$7.41 Million
Wed 06/23/2021,3-9-16-19-38 Star Ball: 3 All Star Bonus 3,$7.27 Million
Sat 06/19/2021,24-35-39-42-45 Star Ball: 6 All Star Bonus 5,$7.22 Million
Wed 06/16/2021,1-14-22-28-41 Star Ball: 9 All Star Bonus 4,$7.14 Million
Sat 06/12/2021,8-10-23-49-50 Star Ball: 6 All Star Bonus 3,$7.09 Million
Wed 06/09/2021,4-39-46-48-52 Star Ball: 3 All Star Bonus 2,$6.95 Million
Sat 06/05/2021,13-16-19-39-44 Star Ball: 5 All Star Bonus 2,$6.85 Million
