Date,Winning Numbers,Prize/Jackpot
Fri 12/31/2021,12-20-21-29-34 Bonus: 2,$620000
Wed 12/29/2021,6-9-24-30-31 Bonus: 2,$600000
Mon 12/27/2021,11-21-24-27-31 Bonus: 4,$580000
Fri 12/24/2021,4-11-14-21-28 Bonus: 3,$560000
Wed 12/22/2021,4-5-6-19-20 Bonus: 1,$540000
Mon 12/20/2021,4-23-26-32-33 Bonus: 4,$520000
Fri 12/17/2021,15-16-24-30-34 Bonus: 3,$500000
Wed 12/15/2021,1-11-15-27-31 Bonus: 2,$480000
Mon 12/13/2021,3-17-22-24-30 Bonus: 1,$460000
Fri 12/10/2021,5-16-24-25-29 Bonus: 5,$440000
Wed 12/08/2021,1-21-22-28-33 Bonus: 4,$420000
Mon 12/06/2021,18-25-28-31-34 Bonus: 2,$400000
Fri 12/03/2021,2-5-19-26-28 Bonus: 3,$380000
Wed 12/01/2021,2-16-20-30-31 Bonus: 1,$360000
Mon 11/29/2021,10-17-18-30-35 Bonus: 1,$340000
Fri 11/26/2021,4-6-15-21-33 Bonus: 3,$320000
Wed 11/24/2021,7-9-10-21-34 Bonus: 2,$300000
Mon 11/22/2021,9-10-18-23-32 Bonus: 2,$280000
Fri 11/19/2021,11-12-13-22-33 Bonus: 2,$260000
Wed 11/17/2021,13-15-17-32-33 Bonus: 4,$240000
Mon 11/15/2021,5-18-19-21-23 Bonus: 2,$220000
Fri 11/12/2021,4-14-17-24-30 Bonus: 4,$200000
Wed 11/10/2021,8-9-20-25-28 Bonus: 2,$720000
Mon 11/08/2021,6-13-17-20-26 Bonus: 3,$700000
Fri 11/05/2021,13-15-17-23-24 Bonus: 3,$680000
Wed 11/03/2021,2-6-7-9-25 Bonus: 5,$660000
Mon 11/01/2021,11-17-21-30-32 Bonus: 1,$640000
Fri 10/29/2021,12-15-20-23-34 Bonus: 3,$620000
Wed 10/27/2021,1-8-13-14-17 Bonus: 3,$600000
Mon 10/25/2021,4-14-23-30-34 Bonus: 3,$580000
Fri 10/22/2021,2-3-12-26-30 Bonus: 2,$560000
Wed 10/20/2021,1-4-7-18-20 Bonus: 5,$540000
Mon 10/18/2021,3-13-19-28-33 Bonus: 2,$520000
Fri 10/15/2021,10-20-23-26-28 Bonus: 2,$500000
